"id","userId","searchDate","networkCount","reason"
"d351c95b-783d-4955-92b2-0440ed38f64b","***","2026-03-31T01:46:38.166Z","449","Investigation"
"8e0587f0-86ad-4065-a939-a246e255fbdb","***","2026-03-31T07:21:39.441Z","449","Investigation"
"9aa3fa62-53fa-4747-9a2a-6b76c9bb6401","***","2026-04-01T01:04:22.683Z","2","Investigation"
"db7f5134-9d3a-4def-a7cb-bba6b790661f","***","2026-04-01T03:46:07.504Z","2","Investigation"
"ed6d5297-67ff-4a7a-b282-66f87bef758e","***","2026-04-01T03:57:29.144Z","1","Investigation"
"40f460ee-2196-4f92-8922-704c0473803e","***","2026-04-01T04:00:05.932Z","2","Investigation"
"b2a07535-20fe-453b-93b0-13dec42da8a8","***","2026-04-01T04:00:57.968Z","406","Investigation"
"516ba5e4-4364-49aa-afee-0173eed2088e","***","2026-04-01T05:04:34.978Z","406","Investigation"
"53696379-77fd-4ef4-b457-d94f821c179e","***","2026-04-01T08:06:12.095Z","406","Investigation"
"d5ce748c-b08b-44b8-9042-dc95689902c0","***","2026-04-01T09:05:07.541Z","2","Investigation"
"31b03ed7-0908-41c5-a44b-c16b70dcfb04","***","2026-04-01T12:27:40.592Z","449","Stolen"
"f912cfd5-d1c8-4214-9822-be1455e436ba","***","2026-04-01T14:11:01.289Z","406","Investigation"
"4702c12c-4e02-4a89-b096-18977fbccd9b","***","2026-04-02T00:19:13.803Z","449","Investigation"
"8f16e7a1-5a37-4cf9-80fc-bbdf4016fd7b","***","2026-04-02T02:00:48.923Z","406","Investigation"
"91cd02f6-7485-4da9-9b35-338e7d11d142","***","2026-04-02T05:15:54.833Z","449","Investigation"
"d0e3ef02-b0bf-405d-baf9-ccc099e0090b","***","2026-04-02T06:51:23.022Z","449","Stolen"
"e11e3e6c-091f-42a8-b69c-1f3e685609c6","***","2026-04-02T07:39:25.680Z","449","Stolen"
"03f1740b-4427-4611-a7b4-5efbe8217613","***","2026-04-02T12:48:07.976Z","449","Investigation"
"cf746452-d171-47d5-9188-7f7f48bbd708","***","2026-04-02T21:50:38.318Z","2","Missing Person / AMBER"
"c2646cc5-41b1-4991-88fa-e975e2e4d9df","***","2026-04-02T22:02:27.970Z","449","Missing Person / AMBER"
"0e3ac4ee-39c9-4659-a30e-95073f574032","***","2026-04-02T22:47:11.329Z","2","Investigation"
"e1cd9d04-27d5-4513-973e-759ba577daee","***","2026-04-03T18:57:14.597Z","451","BOL"
"97cb4b32-9f13-4260-96a7-35ba1511e5ac","***","2026-04-03T19:00:17.329Z","21","BOL"
"dabe50b7-e0c4-4dca-9de5-47ccbc69a99b","***","2026-04-03T19:04:42.249Z","451","Investigation"
"b2ed55bc-49b2-48b8-a9ab-660aaa3f9762","***","2026-04-03T23:23:15.896Z","2","Investigation"
"1d1e3510-392e-4397-939c-809ba8c5a6fc","***","2026-04-05T06:21:54.767Z","2","BOL"
"f9baf4ae-daef-4051-8aca-f3fd54e1150d","***","2026-04-05T11:36:12.166Z","2","BOL"
"a1c37c8b-0bfd-4ef0-9ade-a35ea666bcb1","***","2026-04-05T12:01:17.312Z","21","BOL"
"33e9ffdd-e1c0-42a1-9552-e9a61861a17d","***","2026-04-06T02:56:07.822Z","405","Investigation"
"ecd73e11-8432-4d97-b437-14bd314fdfd6","***","2026-04-07T13:08:33.173Z","405","Investigation"
"04c50a5b-4f06-45b0-b7a3-7f9c54416e5c","***","2026-04-08T07:28:44.288Z","1","Investigation"
"9e38a26b-37b7-4472-9e77-76e1f8deb860","***","2026-04-08T07:32:08.908Z","449","BOL"
"573ca2d7-4e5b-4668-98e8-664f6de3c05c","***","2026-04-08T09:07:26.657Z","2","BOL"
