ori	agency_name	agency_type_name	state	county	lat	lng	is_nibrs
DC0011300	District of Columbia Fire and Emergency Medical Services Arson Investigation Unit	Other	DC	NOT SPECIFIED	38.904103	-77.017229	0
DCMPD0000	Washington Police Department	City	DC	NOT SPECIFIED	38.894764	-77.015205	1
DCMTP0000	Metro Transit Police	Other	DC	NOT SPECIFIED	38.89739	-77.01894	1
HI0010000	Hawaii Police Department	County	HI	HAWAII	19.716698	-155.08688	1
HI0010200	Department of Law Enforcement: Hawaii Island	Other State Agency	HI	HAWAII			0
HI0020000	Honolulu Police Department	City	HI	HONOLULU	21.304317	-157.85077	1
HI0020200	Department of Law Enforcement: Narcotics Enforcement Division	Other State Agency	HI	HONOLULU			0
HI0020400	Department of Law Enforcement: Oahu	Other State Agency	HI	HONOLULU			0
HI0020900	Department of Law Enforcement: Office of Inspector General	Other State Agency	HI	HONOLULU			0
HI0021100	Department of Law Enforcement: Harbors Enforcement	Other State Agency	HI	HONOLULU			0
HI0021200	Department of Law Enforcement: Executive Protection Section	Other State Agency	HI	HONOLULU			0
HI0024700	Department of Law Enforcement: Criminal Investigations Division	Other State Agency	HI	HONOLULU			0
HI0040000	Kauai Police Department	County	HI	KAUAI	22.012038	-159.705965	1
HI0040300	Department of Law Enforcement: Kauai	Other State Agency	HI	KAUAI			0
HI0050000	Maui Police Department	County	HI	MAUI	20.887321	-156.48763	1
HI0050700	Department of Law Enforcement: Maui	Other State Agency	HI	MAUI			0
IA0010000	Adair County Sheriff's Office	County	IA	ADAIR	41.328528	-94.478164	1
IA0010100	Greenfield Police Department	City	IA	ADAIR			1
IA0020000	Adams County Sheriff's Office	County	IA	ADAMS	41.021656	-94.696906	1
IA0030000	Allamakee County Sheriff's Office	County	IA	ALLAMAKEE	43.274964	-91.382751	1
IA0030100	Waukon Police Department	City	IA	ALLAMAKEE	43.270214	-91.47768	1
IA0030400	Postville Police Department	City	IA	ALLAMAKEE, CLAYTON			1
IA0030500	Lansing Police Department	City	IA	ALLAMAKEE			1
IA0040000	Appanoose County Sheriff's Office	County	IA	APPANOOSE	40.73496	-92.88444	1
IA0040100	Centerville Police Department	City	IA	APPANOOSE	40.744683	-92.870345	1
IA0050000	Audubon County Sheriff's Office	County	IA	AUDUBON	41.679178	-94.904312	1
IA0050100	Audubon Police Department	City	IA	AUDUBON	41.7217	-94.93159	1
IA0060000	Benton County Sheriff's Office	County	IA	BENTON	42.16869	-92.02407	1
IA0060100	Belle Plaine Police Department	City	IA	BENTON	41.892105	-92.26985	1
IA0060200	Vinton Police Department	City	IA	BENTON	42.168144	-92.02555	1
IA0070000	Black Hawk County Sheriff's Office	County	IA	BLACK HAWK	42.497097	-92.333565	1
IA0070100	Cedar Falls Police Department	City	IA	BLACK HAWK	42.53667	-92.4481	1
IA0070200	Evansdale Police Department	City	IA	BLACK HAWK	42.465996	-92.287605	1
IA0070300	Waterloo Police Department	City	IA	BLACK HAWK	42.499016	-92.33279	1
IA0070700	University of Northern Iowa	University or College	IA	BLACK HAWK	42.471533	-92.308011	1
IA0080000	Boone County Sheriff's Office	County	IA	BOONE	42.05968	-93.87797	1
IA0080100	Boone Police Department	City	IA	BOONE	42.038601	-93.939138	1
IA0080200	Ogden Police Department	City	IA	BOONE	42.03905	-94.0339	1
IA0090000	Bremer County Sheriff's Office	County	IA	BREMER	42.72686	-92.46567	1
IA0090100	Sumner Police Department	City	IA	BREMER, FAYETTE			1
IA0090200	Waverly Police Department	City	IA	BREMER	42.72686	-92.46567	1
IA0090600	Denver Police Department	City	IA	BREMER			1
IA0100000	Buchanan County Sheriff's Office	County	IA	BUCHANAN	42.469856	-91.88937	1
IA0100100	Independence Police Department	City	IA	BUCHANAN	42.469856	-91.88937	1
IA0100400	Fairbank Police Department	City	IA	BUCHANAN, FAYETTE			1
IA0110000	Buena Vista County Sheriff's Office	County	IA	BUENA VISTA	42.741521	-95.141431	1
IA0110100	Storm Lake Police Department	City	IA	BUENA VISTA	42.647488	-95.19677	1
IA0120000	Butler County Sheriff's Office	County	IA	BUTLER	42.734708	-92.780066	1
IA0120100	Parkersburg Police Department	City	IA	BUTLER			1
IA0130000	Calhoun County Sheriff's Office	County	IA	CALHOUN	42.38617	-94.643683	1
IA0130100	Lake City Police Department	City	IA	CALHOUN			1
IA0130200	Rockwell City Police Department	City	IA	CALHOUN			1
IA0140000	Carroll County Sheriff's Office	County	IA	CARROLL	42.065514	-94.86695	1
IA0140100	Carroll Police Department	City	IA	CARROLL	42.064484	-94.86749	1
IA0150000	Cass County Sheriff's Office	County	IA	CASS	41.403965	-95.013145	1
IA0150100	Atlantic Police Department	City	IA	CASS	41.40697	-95.01266	1
IA0160000	Cedar County Sheriff's Office	County	IA	CEDAR	41.763645	-91.12222	1
IA0160100	Tipton Police Department	City	IA	CEDAR	41.769066	-91.12984	1
IA0160200	Durant Police Department	City	IA	CEDAR, MUSCATINE, SCOTT			1
IA0160300	West Branch Police Department	City	IA	CEDAR, JOHNSON	41.77236	-91.132611	1
IA0160400	Clarence Police Department	City	IA	CEDAR			1
IA0160700	Mechanicsville Police Department	City	IA	CEDAR			1
IA0170000	Cerro Gordo County Sheriff's Office	County	IA	CERRO GORDO	43.153835	-93.20268	1
IA0170100	Clear Lake Police Department	City	IA	CERRO GORDO	43.075171	-93.251266	1
IA0170200	Mason City Police Department	City	IA	CERRO GORDO	43.15112	-93.19622	1
IA0180000	Cherokee County Sheriff's Office	County	IA	CHEROKEE	42.74987	-95.55457	1
IA0180100	Cherokee Police Department	City	IA	CHEROKEE	42.74987	-95.55457	1
IA0190000	Chickasaw County Sheriff's Office	County	IA	CHICKASAW	43.059741	-92.31721	1
IA0190100	New Hampton Police Department	City	IA	CHICKASAW	43.059086	-92.314095	1
IA0200000	Clarke County Sheriff's Office	County	IA	CLARKE	41.029191	-93.784096	1
IA0200100	Osceola Police Department	City	IA	CLARKE	41.029191	-93.784096	1
IA0210000	Clay County Sheriff's Office	County	IA	CLAY	43.079822	-95.149726	1
IA0210100	Spencer Police Department	City	IA	CLAY	43.141373	-95.146164	1
IA0220000	Clayton County Sheriff's Office	County	IA	CLAYTON	42.891697	-91.356926	1
IA0220400	Mar-Mac Police Department	City	IA	CLAYTON			1
IA0230000	Clinton County Sheriff's Office	County	IA	CLINTON	41.851048	-90.18745	1
IA0230100	Clinton Police Department	City	IA	CLINTON	41.898073	-90.534243	1
IA0230200	Camanche Police Department	City	IA	CLINTON	41.786945	-90.257935	1
IA0230300	DeWitt Police Department	City	IA	CLINTON	41.82424	-90.53913	1
IA0240000	Crawford County Sheriff's Office	County	IA	CRAWFORD	42.043119	-95.38909	1
IA0240100	Denison Police Department	City	IA	CRAWFORD	42.017834	-95.35737	1
IA0250000	Dallas County Sheriff's Office	County	IA	DALLAS	41.685321	-94.040707	1
IA0250100	Perry Police Department	City	IA	DALLAS	41.685321	-94.040707	1
IA0250200	Adel Police Department	City	IA	DALLAS	41.685321	-94.040707	1
IA0250400	Waukee Police Department	City	IA	DALLAS	41.685321	-94.040707	1
IA0250500	De Soto Police Department	City	IA	DALLAS			1
IA0250700	Van Meter Police Department	City	IA	DALLAS			1
IA0250800	Woodward Police Department	City	IA	BOONE, DALLAS			1
IA0260000	Davis County Sheriff's Office	County	IA	DAVIS	40.750652	-92.41525	1
IA0260100	Bloomfield Police Department	City	IA	DAVIS	40.750652	-92.41525	1
IA0270000	Decatur County Sheriff's Office	County	IA	DECATUR	40.740402	-93.74693	1
IA0270100	Leon Police Department	City	IA	DECATUR	40.73951	-93.74707	1
IA0280000	Delaware County Sheriff's Office	County	IA	DELAWARE	42.473002	-91.359438	1
IA0280100	Manchester Police Department	City	IA	DELAWARE	42.47613	-91.34304	1
IA0290000	Des Moines County Sheriff's Office	County	IA	DES MOINES	40.81156	-91.10088	1
IA0290100	Burlington Police Department	City	IA	DES MOINES	40.811058	-91.10232	1
IA0290200	West Burlington Police Department	City	IA	DES MOINES	40.825764	-91.15657	1
IA0290300	Southeast Iowa Narcotics Task Force Burlington	Other	IA	DES MOINES			1
IA0300000	Dickinson County Sheriff's Office	County	IA	DICKINSON	43.389611	-95.196057	1
IA0300100	Spirit Lake Police Department	City	IA	DICKINSON	43.42442	-95.10363	1
IA0300300	Arnolds Park Police Department	City	IA	DICKINSON			0
IA0310000	Dubuque County Sheriff's Office	County	IA	DUBUQUE	42.463481	-90.878771	1
IA0310100	Dubuque Police Department	City	IA	DUBUQUE	42.500935	-90.66581	1
IA0310300	Dyersville Police Department	City	IA	DELAWARE, DUBUQUE	42.48466	-91.121056	1
IA0310400	Asbury Police Department	City	IA	DUBUQUE			1
IA0310700	Peosta Police Department	City	IA	DUBUQUE			1
IA0320000	Emmet County Sheriff's Office	County	IA	EMMET	43.40311	-94.83667	1
IA0320100	Estherville Police Department	City	IA	EMMET	43.40311	-94.83667	1
IA0330000	Fayette County Sheriff's Office	County	IA	FAYETTE	42.86445	-91.839373	1
IA0330100	Oelwein Police Department	City	IA	FAYETTE	42.86445	-91.839373	1
IA0330200	West Union Police Department	City	IA	FAYETTE	42.86445	-91.839373	1
IA0340000	Floyd County Sheriff's Office	County	IA	FLOYD	43.06438	-92.68152	1
IA0340100	Charles City Police Department	City	IA	FLOYD	43.052741	-92.787367	1
IA0350000	Franklin County Sheriff's Office	County	IA	FRANKLIN	42.736549	-93.271425	1
IA0350100	Hampton Police Department	City	IA	FRANKLIN	42.741974	-93.20991	1
IA0360000	Fremont County Sheriff's Office	County	IA	FREMONT	40.743726	-95.599516	1
IA0370000	Greene County Sheriff's Office	County	IA	GREENE	42.01419	-94.37344	1
IA0370100	Jefferson Police Department	City	IA	GREENE	42.01419	-94.37344	1
IA0380000	Grundy County Sheriff's Office	County	IA	GRUNDY	42.36142	-92.773994	1
IA0380100	Grundy Center Police Department	City	IA	GRUNDY	42.403323	-92.790261	1
IA0390000	Guthrie County Sheriff's Office	County	IA	GUTHRIE	41.67774	-94.50237	1
IA0390300	Panora Police Department	City	IA	GUTHRIE			1
IA0400000	Hamilton County Sheriff's Office	County	IA	HAMILTON	42.390768	-93.709198	1
IA0400100	Webster City Police Department	City	IA	HAMILTON	42.390768	-93.709198	1
IA0410000	Hancock County Sheriff's Office	County	IA	HANCOCK	43.075411	-93.743697	1
IA0420000	Hardin County Sheriff's Office	County	IA	HARDIN	42.359776	-93.0973	1
IA0420100	Iowa Falls Police Department	City	IA	HARDIN	42.519848	-93.26419	1
IA0420300	Eldora Police Department	City	IA	HARDIN	42.359364	-93.09954	1
IA0430000	Harrison County Sheriff's Office	County	IA	HARRISON	41.64289	-95.790474	1
IA0430100	Missouri Valley Police Department	City	IA	HARRISON	41.556393	-95.89292	1
IA0440000	Henry County Sheriff's Office	County	IA	HENRY	40.985864	-91.54427	1
IA0440100	Mount Pleasant Police Department	City	IA	HENRY	40.965294	-91.55187	1
IA0450000	Howard County Sheriff's Office	County	IA	HOWARD	43.373245	-92.11591	1
IA0450100	Cresco Police Department	City	IA	HOWARD	43.373245	-92.11591	1
IA0460000	Humboldt County Sheriff's Office	County	IA	HUMBOLDT	42.72114	-94.21348	1
IA0460100	Humboldt Police Department	City	IA	HUMBOLDT	42.72114	-94.21348	1
IA0470000	Ida County Sheriff's Office	County	IA	IDA	42.342564	-95.46847	1
IA0480000	Iowa County Sheriff's Office	County	IA	IOWA	41.801067	-92.07138	1
IA0480100	Marengo Police Department	City	IA	IOWA	41.683918	-92.059123	1
IA0480300	Williamsburg Police Department	City	IA	IOWA	41.683918	-92.059123	1
IA0490000	Jackson County Sheriff's Office	County	IA	JACKSON	42.06906	-90.66787	1
IA0490100	Maquoketa Police Department	City	IA	JACKSON	42.069088	-90.66787	1
IA0490300	Preston Police Department	City	IA	JACKSON			1
IA0490400	Sabula Police Department	City	IA	JACKSON			1
IA0500000	Jasper County Sheriff's Office	County	IA	JASPER	41.685686	-93.052971	1
IA0500100	Newton Police Department	City	IA	JASPER	41.699383	-93.05739	1
IA0500200	Colfax Police Department	City	IA	JASPER	41.67772	-93.24548	1
IA0500300	Monroe Police Department	City	IA	JASPER			1
IA0500600	Prairie City Police Department	City	IA	JASPER	41.685686	-93.052971	1
IA0510000	Jefferson County Sheriff's Office	County	IA	JEFFERSON	41.01005	-91.97883	1
IA0510100	Fairfield Police Department	City	IA	JEFFERSON	41.01005	-91.97883	1
IA0520000	Johnson County Sheriff's Office	County	IA	JOHNSON	41.668736	-91.588812	1
IA0520100	Coralville Police Department	City	IA	JOHNSON	41.668736	-91.588812	1
IA0520200	Iowa City Police Department	City	IA	JOHNSON	41.660053	-91.52996	1
IA0520400	University of Iowa	University or College	IA	JOHNSON	41.658768	-91.53616	1
IA0520500	North Liberty Police Department	City	IA	JOHNSON	41.668736	-91.588812	1
IA0520600	University Heights Police Department	City	IA	JOHNSON			1
IA0530000	Jones County Sheriff's Office	County	IA	JONES	42.108234	-91.29007	1
IA0530100	Anamosa Police Department	City	IA	JONES	42.106422	-91.28553	1
IA0530200	Monticello Police Department	City	IA	JONES	42.232327	-91.1881	1
IA0540000	Keokuk County Sheriff's Office	County	IA	KEOKUK	41.331182	-92.167721	1
IA0550000	Kossuth County Sheriff's Office	County	IA	KOSSUTH	43.06888	-94.238174	1
IA0550100	Algona Police Department	City	IA	KOSSUTH	43.069866	-94.24046	1
IA0560000	Lee County Sheriff's Office	County	IA	LEE	40.59004	-91.427574	1
IA0560100	Fort Madison Police Department	City	IA	LEE	40.647588	-91.477157	1
IA0560200	Keokuk Police Department	City	IA	LEE	40.40083	-91.39034	1
IA0560400	Donnellson Police Department	City	IA	LEE			0
IA0570000	Linn County Sheriff's Office	County	IA	LINN	42.077951	-91.597674	1
IA0570100	Cedar Rapids Police Department	City	IA	LINN	41.975834	-91.66754	1
IA0570200	Marion Police Department	City	IA	LINN	42.035267	-91.57182	1
IA0570300	Hiawatha Police Department	City	IA	LINN	42.038734	-91.674095	1
IA0570600	Mount Vernon Police Department	City	IA	LINN	41.922913	-91.41819	1
IA0570900	Robins Police Department	City	IA	LINN	42.070568	-91.66712	1
IA0571100	Eastern Iowa Airport Public Safety	Other	IA	LINN			1
IA0580000	Louisa County Sheriff's Office	County	IA	LOUISA	41.218211	-91.256994	1
IA0590000	Lucas County Sheriff's Office	County	IA	LUCAS	41.033344	-93.331467	1
IA0600000	Lyon County Sheriff's Office	County	IA	LYON	43.42843	-96.16947	1
IA0610000	Madison County Sheriff's Office	County	IA	MADISON	41.330622	-94.015184	1
IA0610100	Winterset Police Department	City	IA	MADISON	41.343437	-94.01347	1
IA0610200	Earlham Police Department	City	IA	MADISON			1
IA0620000	Mahaska County Sheriff's Office	County	IA	MAHASKA	41.295334	-92.64363	1
IA0620100	Oskaloosa Police Department	City	IA	MAHASKA	41.295334	-92.64363	1
IA0620200	New Sharon Police Department	City	IA	MAHASKA	41.330797	-92.636366	1
IA0630000	Marion County Sheriff's Office	County	IA	MARION	41.331455	-93.093849	1
IA0630100	Knoxville Police Department	City	IA	MARION	41.31703	-93.09643	1
IA0630200	Pella Police Department	City	IA	MAHASKA, MARION	41.4043	-92.91649	1
IA0630300	Pleasantville Police Department	City	IA	MARION	41.331455	-93.093849	1
IA0640000	Marshall County Sheriff's Office	County	IA	MARSHALL	42.041691	-92.981452	1
IA0640100	Marshalltown Police Department	City	IA	MARSHALL	42.04948	-92.91297	1
IA0640200	State Center Police Department	City	IA	MARSHALL	42.041691	-92.981452	1
IA0650000	Mills County Sheriff's Office	County	IA	MILLS	41.04678	-95.741806	1
IA0650100	Glenwood Police Department	City	IA	MILLS	41.04639	-95.73907	1
IA0660000	Mitchell County Sheriff's Office	County	IA	MITCHELL	43.28293	-92.812874	1
IA0660100	Osage Police Department	City	IA	MITCHELL	43.28406	-92.815765	1
IA0660200	St. Ansgar Police Department	City	IA	MITCHELL	43.348564	-92.784466	1
IA0670000	Monona County Sheriff's Office	County	IA	MONONA	42.02791	-96.09307	1
IA0680000	Monroe County Sheriff's Office	County	IA	MONROE	41.025253	-92.809685	1
IA0680100	Albia Police Department	City	IA	MONROE	41.025253	-92.809685	1
IA0690000	Montgomery County Sheriff's Office	County	IA	MONTGOMERY	41.00889	-95.23167	1
IA0690100	Red Oak Police Department	City	IA	MONTGOMERY	41.00973	-95.225555	1
IA0700000	Muscatine County Sheriff's Office	County	IA	MUSCATINE	41.424686	-91.044106	1
IA0700100	Muscatine Police Department	City	IA	MUSCATINE	41.42498	-91.04574	1
IA0700200	West Liberty Police Department	City	IA	MUSCATINE	41.57098	-91.263435	1
IA0700400	Wilton Police Department	City	IA	CEDAR, MUSCATINE	41.483776	-91.118699	1
IA0710000	O'Brien County Sheriff's Office	County	IA	O'BRIEN	43.083746	-95.625624	1
IA0710300	Sheldon Police Department	City	IA	O'BRIEN, SIOUX	43.083746	-95.625624	1
IA0720000	Osceola County Sheriff's Office	County	IA	OSCEOLA	43.4027	-95.74978	1
IA0730000	Page County Sheriff's Office	County	IA	PAGE	40.740555	-95.03648	1
IA0730100	Clarinda Police Department	City	IA	PAGE	40.737133	-95.03647	1
IA0730200	Shenandoah Police Department	City	IA	PAGE	40.765934	-95.36995	1
IA0740000	Palo Alto County Sheriff's Office	County	IA	PALO ALTO	43.075854	-94.667296	1
IA0740100	Emmetsburg Police Department	City	IA	PALO ALTO	43.11016	-94.67476	1
IA0750000	Plymouth County Sheriff's Office	County	IA	PLYMOUTH	42.737585	-96.215864	1
IA0750100	Le Mars Police Department	City	IA	PLYMOUTH	42.79548	-96.16615	1
IA0760000	Pocahontas County Sheriff's Office	County	IA	POCAHONTAS	42.734033	-94.678279	1
IA0770000	Polk County Sheriff's Office	County	IA	POLK	41.58507	-93.62434	1
IA0770100	Ankeny Police Department	City	IA	POLK	41.684281	-93.56972	1
IA0770200	Clive Police Department	City	IA	DALLAS, POLK	41.684281	-93.56972	1
IA0770300	Des Moines Police Department	City	IA	POLK, WARREN	41.684281	-93.56972	1
IA0770400	Urbandale Police Department	City	IA	DALLAS, POLK	41.628784	-93.73656	1
IA0770500	West Des Moines Police Department	City	IA	DALLAS, MADISON, POLK, WARREN	41.684281	-93.56972	1
IA0770600	Windsor Heights Police Department	City	IA	POLK	41.59872	-93.70859	1
IA0770700	Johnston Police Department	City	IA	POLK	41.684281	-93.56972	1
IA0770800	Altoona Police Department	City	IA	POLK	41.645702	-93.46464	1
IA0771300	Mitchellville Police Department	City	IA	JASPER, POLK			1
IA0771400	Pleasant Hill Police Department	City	IA	POLK	41.597923	-93.51729	1
IA0771800	Polk City Police Department	City	IA	POLK	41.684281	-93.56972	1
IA0772600	Polk County Conservation Law Enforcement	Other	IA	POLK			1
IA0772700	Iowa Department of Commerce, Insurance Fraud Law Enforcement	Other State Agency	IA	NOT SPECIFIED			1
IA0780000	Pottawattamie County Sheriff's Office	County	IA	POTTAWATTAMIE	41.28416	-95.86405	1
IA0780100	Council Bluffs Police Department	City	IA	POTTAWATTAMIE	41.340184	-95.544905	1
IA0780400	Carter Lake Police Department	City	IA	POTTAWATTAMIE	41.284958	-95.91713	1
IA078059E	Union Pacific Railroad Police	Other	IA	POTTAWATTAMIE			0
IA0790000	Poweshiek County Sheriff's Office	County	IA	POWESHIEK	41.684526	-92.522882	1
IA0790100	Grinnell Police Department	City	IA	POWESHIEK	41.745045	-92.7288	1
IA0800000	Ringgold County Sheriff's Office	County	IA	RINGGOLD	40.735334	-94.244251	1
IA0810000	Sac County Sheriff's Office	County	IA	SAC	42.422047	-94.98867	1
IA0810100	Sac City Police Department	City	IA	SAC	42.387526	-95.105224	1
IA0810200	Lake View Police Department	City	IA	SAC			1
IA0820000	Scott County Sheriff's Office	County	IA	SCOTT	41.52355	-90.57856	1
IA0820100	Bettendorf Police Department	City	IA	SCOTT	41.52522	-90.50928	1
IA0820200	Davenport Police Department	City	IA	SCOTT	41.523746	-90.57706	1
IA0820400	Buffalo Police Department	City	IA	SCOTT	41.4574	-90.72153	1
IA0820500	Blue Grass Police Department	City	IA	MUSCATINE, SCOTT	41.50913	-90.76201	1
IA0820600	Eldridge Police Department	City	IA	SCOTT	41.657383	-90.585724	1
IA0820700	Le Claire Police Department	City	IA	SCOTT	41.642079	-90.622289	1
IA0820800	Princeton Police Department	City	IA	SCOTT	41.642079	-90.622289	1
IA0820900	Walcott Police Department	City	IA	SCOTT	41.585888	-90.774925	1
IA0830000	Shelby County Sheriff's Office	County	IA	SHELBY	41.657696	-95.31791	1
IA0840000	Sioux County Sheriff's Office	County	IA	SIOUX	43.01772	-96.07656	1
IA0840100	Orange City Police Department	City	IA	SIOUX	43.00579	-96.05822	1
IA0840200	Hawarden Police Department	City	IA	SIOUX	42.998592	-96.48521	1
IA0840400	Rock Valley Police Department	City	IA	SIOUX	43.203484	-96.29489	1
IA0840500	Sioux Center Police Department	City	IA	SIOUX	43.080147	-96.17705	1
IA0850000	Story County Sheriff's Office	County	IA	STORY	42.037538	-93.466093	1
IA0850100	Ames Police Department	City	IA	STORY	42.037538	-93.466093	1
IA0850200	Nevada Police Department	City	IA	STORY	42.02283	-93.45223	1
IA0850300	Story City Police Department	City	IA	STORY	42.037538	-93.466093	1
IA0850400	Iowa State University	University or College	IA	STORY	42.037538	-93.466093	1
IA0850500	Huxley Police Department	City	IA	STORY			1
IA0860000	Tama County Sheriff's Office	County	IA	TAMA	42.074848	-92.529411	1
IA0860100	Toledo Police Department	City	IA	TAMA	41.99561	-92.58011	1
IA0860200	Tama Police Department	City	IA	TAMA	42.074848	-92.529411	1
IA0860300	Dysart Police Department	City	IA	TAMA			1
IA0870000	Taylor County Sheriff's Office	County	IA	TAYLOR	40.737949	-94.697108	1
IA0880000	Union County Sheriff's Office	County	IA	UNION	41.059776	-94.36151	1
IA0880100	Creston Police Department	City	IA	UNION	41.059776	-94.36151	1
IA0890000	Van Buren County Sheriff's Office	County	IA	VAN BUREN	40.754117	-91.952943	1
IA0900000	Wapello County Sheriff's Office	County	IA	WAPELLO	41.016605	-92.40911	1
IA0900100	Ottumwa Police Department	City	IA	WAPELLO	41.016605	-92.40911	1
IA0900400	Southeast Iowa Interagency Drug Task Force	Other	IA	WAPELLO			1
IA0910000	Warren County Sheriff's Office	County	IA	WARREN	41.336769	-93.564366	1
IA0910100	Indianola Police Department	City	IA	WARREN	41.336769	-93.564366	1
IA0910200	Norwalk Police Department	City	IA	WARREN	41.336769	-93.564366	1
IA0910300	Carlisle Police Department	City	IA	POLK, WARREN	41.336769	-93.564366	1
IA0920000	Washington County Sheriff's Office	County	IA	WASHINGTON	41.329401	-91.725052	1
IA0920100	Washington Police Department	City	IA	WASHINGTON	41.298367	-91.69018	1
IA0930000	Wayne County Sheriff's Office	County	IA	WAYNE	40.739983	-93.332613	1
IA0940000	Webster County Sheriff's Office	County	IA	WEBSTER	42.50398	-94.18832	1
IA0940100	Fort Dodge Police Department	City	IA	WEBSTER	42.50398	-94.18832	1
IA0940200	Gowrie Police Department	City	IA	WEBSTER			1
IA0950000	Winnebago County Sheriff's Office	County	IA	WINNEBAGO	43.26245	-93.63843	1
IA0950100	Forest City Police Department	City	IA	HANCOCK, WINNEBAGO	43.378124	-93.743488	1
IA0960000	Winneshiek County Sheriff's Office	County	IA	WINNESHIEK	43.292989	-91.850788	1
IA0960100	Decorah Police Department	City	IA	WINNESHIEK	43.292989	-91.850788	1
IA0970000	Woodbury County Sheriff's Office	County	IA	WOODBURY	42.496563	-96.40643	1
IA0970100	Sioux City Police Department	City	IA	PLYMOUTH, WOODBURY	42.496357	-96.40646	1
IA0970200	Sergeant Bluff Police Department	City	IA	WOODBURY	42.39322	-96.053296	1
IA0980000	Worth County Sheriff's Office	County	IA	WORTH	43.444042	-93.21828	1
IA0990000	Wright County Sheriff's Office	County	IA	WRIGHT	42.733007	-93.734735	1
IA0990100	Eagle Grove Police Department	City	IA	WRIGHT	42.664143	-93.8999	1
IA0990200	Belmond Police Department	City	IA	WRIGHT	42.84577	-93.61422	1
IA0990300	Clarion Police Department	City	IA	WRIGHT	42.733007	-93.734735	1
IADCI0000	Iowa Division of Criminal Investigation	Other State Agency	IA	NOT SPECIFIED			1
IADIT0000	Meskwaki Nation	Tribal	IA	NOT SPECIFIED			1
IADPS0000	Iowa Department of Public Safety	State Police	IA	NOT SPECIFIED	41.584892	-93.62555	0
IADPS1100	Department of Public Safety: Fire Marshal	Other State Agency	IA	NOT SPECIFIED			1
IAIHP0100	Iowa State Patrol	State Police	IA	NOT SPECIFIED			1
IANDE0000	Iowa Division of Narcotics Enforcement	Other State Agency	IA	NOT SPECIFIED			1
ID0010000	Ada County Sheriff's Office	County	ID	ADA	43.60671	-116.26885	1
ID0010100	Boise Police Department	City	ID	ADA	43.60671	-116.26885	1
ID001015A	Attorney General	Other State Agency	ID	NOT SPECIFIED			1
ID0010200	Garden City Police Department	City	ID	ADA	43.643784	-116.26528	1
ID0010300	Meridian Police Department	City	ID	ADA	43.451477	-116.244376	1
ID0020000	Adams County Sheriff's Office	County	ID	ADAMS	44.884583	-116.431873	1
ID0030000	Bannock County Sheriff's Office	County	ID	BANNOCK	42.692938	-112.228986	1
ID0030100	Chubbuck Police Department	City	ID	BANNOCK	42.692938	-112.228986	1
ID0030200	Pocatello Police Department	City	ID	BANNOCK	42.692938	-112.228986	1
ID0030300	Fort Hall Tribal	Tribal	ID	NOT SPECIFIED	43.216357	-112.399206	1
ID0040000	Bear Lake County Sheriff's Office	County	ID	BEAR LAKE	42.285833	-111.327445	1
ID0040100	Montpelier Police Department	City	ID	BEAR LAKE	42.285833	-111.327445	1
ID0050000	Benewah County Sheriff's Office	County	ID	BENEWAH	47.315243	-116.56676	1
ID0050100	St. Maries Police Department	City	ID	BENEWAH	47.315273	-116.56578	1
ID0050200	Plummer Police Department	City	ID	BENEWAH			1
ID0060000	Bingham County Sheriff's Office	County	ID	BINGHAM	43.194084	-112.34408	1
ID0060200	Blackfoot Police Department	City	ID	BINGHAM	43.216357	-112.399206	1
ID0060400	Shelley Police Department	City	ID	BINGHAM	43.381145	-112.12585	1
ID0070000	Blaine County Sheriff's Office	County	ID	BLAINE	43.394482	-113.95529	1
ID0070100	Ketchum Police Department	City	ID	BLAINE	43.394482	-113.95529	1
ID0070200	Sun Valley Police Department	City	ID	BLAINE	43.394482	-113.95529	1
ID0070300	Hailey Police Department	City	ID	BLAINE	43.51983	-114.31555	1
ID0070400	Bellevue Police Department	City	ID	BLAINE	43.394482	-113.95529	1
ID0080000	Boise County Sheriff's Office	County	ID	BOISE	43.987275	-115.71511	1
ID0080100	Idaho City Police Department	City	ID	BOISE	43.987275	-115.71511	1
ID0090000	Bonner County Sheriff's Office	County	ID	BONNER	48.307823	-116.55705	1
ID0090100	Priest River Police Department	City	ID	BONNER	48.312512	-116.59694	1
ID0090200	Sandpoint Police Department	City	ID	BONNER	48.272057	-116.56282	1
ID0090300	Ponderay Police Department	City	ID	BONNER	48.312512	-116.59694	1
ID0100000	Bonneville County Sheriff's Office	County	ID	BONNEVILLE	43.494877	-112.04055	1
ID0100200	Idaho Falls Police Department	City	ID	BONNEVILLE	43.395171	-111.621878	1
ID0110000	Boundary County Sheriff's Office	County	ID	BOUNDARY	48.773065	-116.524619	1
ID0110100	Bonners Ferry Police Department	City	ID	BOUNDARY	48.773065	-116.524619	1
ID0120000	Butte County Sheriff's Office	County	ID	BUTTE	43.6851	-113.177627	1
ID0130000	Camas County Sheriff's Office	County	ID	CAMAS	43.463396	-114.804427	1
ID0140000	Canyon County Sheriff's Office	County	ID	CANYON	43.66518	-116.68237	1
ID0140100	Caldwell Police Department	City	ID	CANYON	43.667896	-116.69103	1
ID0140200	Nampa Police Department	City	ID	CANYON	43.623051	-116.708527	1
ID0140300	Parma Police Department	City	ID	CANYON	43.623051	-116.708527	1
