Organization Name,Networks Shared With Me
Hillsborough CA PD,"Hillsborough CA PD (Flex),Hillsborough CA PD"
Burbank CA PD,Burbank CA PD
Grover Beach CA PD,Grover Beach CA PD
Dixon CA PD,Dixon CA PD
Manteca CA PD,"Manteca CA PD - Condor,Manteca CA PD,Manteca CA PD (Falcon Flex) "
Farmersville CA PD,Farmersville CA PD
Porterville CA PD,Porterville CA PD
Willits CA PD,Willits CA PD
Alhambra CA PD,Alhambra CA PD
Emeryville CA PD,Emeryville CA PD
Visalia CA PD,"Visalia CA PD (LR),Visalia CA PD,Visalia CA PD (Flex)"
Huntington Beach CA PD,Huntington Beach CA PD
Trinity County SO CA ,Trinity County SO CA 
Cal Fire,Cal-Fire Wing LPR (Valorence Covert)
Barstow CA PD,Barstow CA PD
Fountain Valley CA PD,Fountain Valley CA PD
Kern County CA SO ,"Kern County CA SO ,Kern County CA SO (Flex)"
San Mateo County CA SO,"City of San Carlos (SMCSO),San Mateo County CA SO (Raven),City of San Carlos (SMCSO) (Flex) - City of San Carlos Trailers,City of Millbrae CA,San Mateo County CA SO - Fixed LPR and VTTF Trailers"
Tiburon CA PD,Tiburon CA PD 
Sausalito CA PD,Sausalito CA PD
San Fernando CA PD,San Fernando CA PD
Ukiah Fire CA FD,Ukiah Fire CA FD
Pasadena CA PD,Pasadena CA PD
Oakley CA PD,Oakley CA PD
Orange CA PD,Orange CA PD 
San Luis Obispo County (CA) Sheriff ,"San Luis Obispo County CA SO - Condor,San Luis Obispo County CA SO,San Luis Obispo County CA SO (LR),San Luis Obispo County CA SO"
Marysville CA PD,Marysville CA PD
Santa Cruz CA PD (deactivated),Santa Cruz CA PD
Woodland CA PD,Woodland CA PD
Los Angeles County CA SD,"City of San Dimas CA (LASD),City of Paramount CA (LASD),City of Pico Rivera CA (LASD) ,City of La Canada-Flintridge CA (LASD)"
Cathedral City CA PD,Cathedral City CA PD
Napa County CA SO,"Napa County CA SO (Flex),American Canyon CA PD"
Gustine PD CA ,Gustine PD CA 
Yreka CA PD,"Yreka CA PD,Yreka CA PD (Flex)"
El Monte CA PD,El Monte CA PD
Walnut Creek CA PD,Walnut Creek CA PD 
Murrieta CA PD,Murrieta CA PD
Lodi CA PD,"Lodi CA PD,Lodi CA PD - Raven"
South Pasadena CA PD,South Pasadena CA PD
San Bruno CA PD,San Bruno CA PD
Bakersfield CA PD,Bakersfield CA PD
Claremont CA PD,Claremont CA PD
Delano CA PD,Delano CA PD
Seaside CA PD,Seaside CA PD
Kings County Sheriff's Office CA ,Kings County Sheriff's Office CA
Bishop CA PD ,"Bishop CA PD ,Bishop CA PD - Condor"
Newark CA PD,"Newark CA PD,Newark CA PD (Flex)"
Lake County CA SO,Lake County CA Sheriff
Westminster CA PD,"Westminster CA PD,Westminster CA PD (Flex),Westminster CA PD - Wing"
Lassen County SO (CA),Lassen County SO (CA)
Seal Beach CA PD ,Seal Beach CA PD
Clayton CA PD,Clayton CA PD
El Segundo CA PD,El Segundo CA PD
Menlo Park CA PD,Menlo Park CA PD
Yuba City CA PD,Yuba City CA PD
Imperial County CA SO,Imperial County CA SO
Simi Valley CA PD,Simi Valley CA PD
Pleasant Hill CA PD,Pleasant Hill CA PD
Laguna Beach CA PD,Laguna Beach CA PD
Tulare CA PD,"Tulare CA PD (LR),Tulare CA PD ,Tulare CA PD (Raven)"
Alameda County CA SO,Alameda County CA SO
Garden Grove CA PD,Garden Grove CA PD
Tustin CA PD ,Tustin CA PD
Colma CA PD,"Holy Cross Cemetery (CA),Colma CA PD"
Yolo County CA SO,"Yolo County CA SO (Flex),Yolo County CA SO"
Lindsay Public Safety Department CA,Lindsay Public Safety Department CA
Beaumont CA PD,Beaumont CA PD
Danville CA PD,Danville CA PD
San Joaquin County CA SO,San Joaquin County CA SO
Hercules CA PD,Hercules CA PD
Gilroy CA PD,"Gilroy CA PD - Condor,Gilroy CA PD"
Buena Park CA PD,Buena Park CA PD
Petaluma CA PD,Petaluma CA PD
Los Alamitos PD CA,Los Alamitos PD CA
Los Angeles Port Police CA,Port of Los Angeles CA PD
Auburn CA PD,Auburn CA PD
Calexico CA PD,Calexico CA PD
Lakeport CA PD,Lakeport CA PD
Central Marin CA PD,Central Marin CA PD
Rio Hondo College PD CA,Rio Hondo College CA PD
Modoc County CA SO,"Modoc County CA SO (Flex),Modoc County CA SO"
Corona CA PD,Corona CA PD
Glendora (CA) PD,Glendora (CA) PD
Atwater CA PD,Atwater CA PD
Beverly Hills CA PD,BHPD Trailer
Hanford CA PD,Hanford CA PD
Morgan Hill CA PD,"Morgan Hill CA PD (Video Cameras),Morgan Hill CA PD"
Cloverdale CA PD,Cloverdale CA PD
Anaheim CA PD,Anaheim CA PD
Livermore CA PD,Livermore CA PD
Tehachapi CA PD,Tehachapi CA PD
Montclair CA PD,Montclair CA PD
Bell CA PD,Bell CA PD
Downey PD CA,Downey CA PD
Ridgecrest CA PD,Ridgecrest CA PD
San Francisco CA PD,San Francisco CA PD
Sanger CA PD ,Sanger CA PD 
Kings County CA DAs Office,Kings County CA DAs Office
Rialto PD CA,Rialto CA PD
Santa Rosa CA PD,Santa Rosa CA PD
Brisbane CA PD,Brisbane CA PD
Anderson CA PD,Anderson City CA PD
West Sacramento CA PD,West Sacramento CA PD
Coronado CA PD,Coronado CA PD
Hayward CA PD,Hayward CA PD
Wheatland CA PD,Wheatland CA PD
Amador County CA Sheriff's Office,Amador County CA SO 
CA - Napa Valley College Campus,Napa Valley College Campus CA PD 
La Habra CA PD,La Habra CA PD
Rio Vista CA PD,Rio Vista CA PD
Rohnert Park Department of Public Safety (CA),Rohnert Park Department of Public Safety (CA)
CA - Wasco PD ,Wasco CA PD
Galt CA PD,Galt CA PD
Soledad CA PD,Soledad CA PD
Monterey County CA SO,"Monterey County CA SO - Chualar,Monterey County CA SO"
Lathrop CA PD ,"Lathrop CA PD (Condor),Lathrop CA PD"
Citrus Heights CA PD,Citrus Heights CA PD - LPR
Mendota CA PD,Mendota CA PD
Yuba County Sheriffs Office,Yuba County CA SO
Redwood City CA PD,Redwood City CA PD
Novato CA PD,Novato CA PD
City of Half Moon Bay (SMCSO) ,Half Moon Bay (CA)
Fontana CA PD,Fontana CA PD
Desert Hot Springs CA PD,Desert Hot Springs CA PD
Sutter County CA SO,Sutter County CA SO
Redlands CA PD,Redlands CA PD
Salinas CA PD,Salinas CA PD
Arcadia CA PD,Arcadia CA PD
Milpitas CA PD,Milpitas CA PD
San Bernardino CA PD,San Bernardino CA PD
Fort Bragg CA PD,Fort Bragg CA PD
San Jose CA PD,San Jose CA PD
Cypress CA PD,Cypress CA PD
Napa CA PD,Napa CA PD
Daly City CA PD,Daly City CA PD
Stockton CA PD,Stockton CA PD - LPR
Blue Lake Rancheria Tribal PD,Blue Lake Rancheria Tribal PD
San Rafael CA PD,San Rafael CA PD
East Palo Alto CA PD,East Palo Alto CA PD
Santa Clara CA PD,Santa Clara CA PD
Berkeley CA PD,Berkeley CA PD
Santa Barbara County CA SO,Santa Barbara County CA SO
San Ramon CA PD,San Ramon CA PD
Indio CA PD,Indio CA PD
Turlock CA PD,"Turlock CA PD/Condors,Turlock CA PD"
Tehama County CA SO,Tehama County CA SO
Vernon CA PD,Vernon CA PD
Albany CA PD,Albany CA PD
El Centro CA PD,El Centro CA PD
San Leandro CA PD,San Leandro PD CA
Merced County CA SO,Merced County CA SO
Redondo Beach CA PD,Redondo Beach CA PD
Kerman CA PD,Kerman CA PD - LPR
Chino CA PD ,Chino CA PD
Upland CA PD ,Upland (CA) PD
Fowler CA PD,Fowler CA PD
Monrovia CA PD,Monrovia CA PD
California Highway Patrol,California Highway Patrol
Marina CA PD,Marina CA PD
La Mesa CA PD,La Mesa CA PD
Placer County CA SO,Placer County CA SO
Town of Los Gatos CA,Los Gatos CA PD
La Verne CA PD,La Verne CA PD
South Gate CA PD,South Gate CA PD
Taft CA PD,Taft CA PD
deactivated,Morgan Hill CA PD Raven (Deactivated)
National City CA PD,National City CA PD
City of Riverside CA PD ,City of Riverside CA PD 
Dublin CA PD (ACSO),City of Dublin - CA
Madera County SO CA ,Madera County SO CA
Vacaville CA PD,"Vacaville CA PD,Vacaville CA PD - Wing"
[Federal] Loma Linda Healthcare System CA Veterans Affairs PD,Loma Linda Healthcare System CA Veterans Affairs PD - LPR
Covina CA PD,Covina CA PD
Colton CA PD ,Colton CA PD
Lincoln CA PD,Lincoln CA PD
Livingston CA PD,Livingston CA PD (WSIN FLEX CAMERA)
Dinuba CA PD,Dinuba CA PD
San Pablo CA PD ,San Pablo CA PD
Costa Mesa CA PD,Costa Mesa CA PD
